Region Name,Region Type,Type,Current,Month Over Month,Quarter Over Quarter,Year Over Year,5 Year Annualized,10 Year Annualized,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year
Lower Queen Anne,neighborhood,All Homes,"$5,92,400",2.30%,6.60%,16.00%,11.40%,2.50%,4.20%,0.40%,2.40%,2.00%,---,---,---,---,---,---,---,---,$553,0.90%,2.80%,11.00%,---,---,---,---,---,---,---,---,94.40%,-1.10%,-2.40%,-0.90%,---,---,---,---,---,---,---,---,6.50%,0.00%,-4.20%,-24.80%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,580",-0.70%,-1.50%,5.00%,$2.47,-0.20%,0.20%,5.70%
Loyal Heights,neighborhood,All Homes,"$6,59,000",-1.60%,-3.00%,7.80%,10.90%,3.20%,6.70%,3.60%,6.00%,6.10%,---,---,---,---,---,---,---,---,$453,-1.10%,-2.40%,7.10%,---,---,---,---,---,---,---,---,85.20%,-7.90%,-13.60%,-13.90%,---,---,---,---,---,---,---,---,5.00%,0.70%,-1.30%,-14.00%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,669",-0.80%,-1.40%,5.40%,$1.86,-0.60%,-1.20%,5.50%
Madison Park,neighborhood,All Homes,"$12,14,500",-0.80%,0.00%,7.70%,10.70%,2.70%,15.60%,3.60%,10.80%,11.40%,---,---,---,---,---,---,---,---,$637,0.00%,1.10%,8.90%,---,---,---,---,---,---,---,---,79.10%,-4.60%,-14.60%,-14.70%,---,---,---,---,---,---,---,---,5.90%,1.80%,3.70%,0.00%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$4,162",-1.00%,-2.20%,5.20%,$2.48,-0.20%,-0.20%,6.20%
Madison Valley,neighborhood,All Homes,"$7,29,600",-0.70%,-1.80%,7.00%,10.80%,2.90%,11.20%,5.30%,10.30%,10.50%,---,---,---,---,---,---,---,---,$479,-0.20%,-0.40%,7.20%,---,---,---,---,---,---,---,---,79.60%,-10.20%,-19.00%,-18.80%,---,---,---,---,---,---,---,---,6.00%,-1.10%,-5.20%,-23.30%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,873",-0.80%,-1.50%,6.40%,$1.92,-0.40%,-0.60%,6.30%
Madrona,neighborhood,All Homes,"$8,93,800",-0.80%,-1.60%,5.20%,10.20%,3.20%,10.90%,5.00%,9.90%,10.30%,---,---,---,---,---,---,---,---,$494,-0.40%,0.40%,7.20%,---,---,---,---,---,---,---,---,81.10%,-7.50%,-17.70%,-17.20%,---,---,---,---,---,---,---,---,4.80%,-3.00%,-9.70%,-22.60%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$3,182",-0.80%,-1.70%,7.30%,$1.84,-0.50%,-1.10%,6.60%
Magnolia,neighborhood,All Homes,"$7,92,100",-1.40%,-4.20%,1.70%,10.40%,2.60%,20.30%,4.50%,18.60%,18.70%,---,---,---,---,1.40%,-3.80%,-6.10%,-4.70%,$439,-1.10%,-3.30%,3.30%,---,---,---,---,"$6,62,000",-2.60%,-11.70%,-9.90%,69.50%,-6.50%,-27.40%,-27.40%,---,---,---,---,---,---,---,---,5.40%,-0.30%,-3.70%,-22.80%,$417,-5.40%,0.60%,1.10%,---,---,---,---,---,---,---,---,0.739,-0.70%,-0.80%,---,"$3,026",-1.30%,-1.30%,3.60%,$1.79,-0.80%,-1.00%,4.30%
Maple Leaf,neighborhood,All Homes,"$6,08,400",-0.90%,-3.00%,7.80%,11.10%,3.30%,5.00%,1.90%,4.50%,4.10%,---,---,---,---,---,---,---,---,$381,-0.30%,-1.30%,9.50%,---,---,---,---,---,---,---,---,89.50%,-4.10%,-9.90%,-8.40%,---,---,---,---,---,---,---,---,4.90%,4.60%,5.10%,-14.20%,---,---,---,---,---,---,---,---,---,---,---,---,1.443,---,---,---,"$2,538",-0.20%,-0.60%,3.80%,$1.69,-0.20%,-0.70%,4.70%
Matthews Beach,neighborhood,All Homes,"$6,97,400",-0.80%,-1.40%,7.70%,10.10%,3.00%,17.10%,5.80%,14.40%,16.10%,---,---,---,---,---,---,---,---,$362,-0.80%,-1.90%,5.80%,---,---,---,---,---,---,---,---,74.50%,-7.00%,-20.80%,-23.00%,---,---,---,---,---,---,---,---,4.30%,-3.60%,-12.20%,-18.80%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,725",-0.70%,-1.40%,5.10%,$1.45,-0.40%,-1.00%,4.30%
Meadowbrook,neighborhood,All Homes,"$5,71,700",-1.40%,-4.00%,4.60%,11.00%,3.10%,7.90%,2.40%,6.10%,4.30%,---,---,---,---,---,---,---,---,$349,-1.10%,-2.00%,9.10%,---,---,---,---,---,---,---,---,85.90%,-5.50%,-11.40%,-9.60%,---,---,---,---,---,---,---,---,4.80%,0.00%,-5.20%,-24.70%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,524",0.00%,0.00%,7.00%,$1.54,-0.10%,-0.50%,6.00%
Minor,neighborhood,All Homes,"$6,27,700",0.10%,1.70%,14.30%,12.50%,4.10%,2.00%,0.30%,1.20%,1.10%,---,---,---,---,---,---,---,---,$439,0.00%,1.60%,12.30%,---,---,---,---,---,---,---,---,95.80%,-1.70%,-2.90%,-2.80%,---,---,---,---,---,---,---,---,6.30%,2.80%,-4.30%,-39.50%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,605",-0.20%,0.50%,6.60%,$1.94,-0.40%,-0.50%,5.90%
Montlake,neighborhood,All Homes,"$10,00,300",-2.20%,-5.10%,4.40%,9.10%,2.90%,23.80%,10.50%,22.60%,23.40%,---,---,---,---,---,---,---,---,$500,-1.00%,-2.50%,4.80%,---,---,---,---,---,---,---,---,65.00%,-12.50%,-31.70%,-33.70%,---,---,---,---,---,---,---,---,3.80%,3.10%,3.10%,-19.30%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$3,656",-1.50%,-1.90%,3.50%,$1.87,-1.10%,-1.70%,2.50%
Mt. Baker,neighborhood,All Homes,"$7,96,000",-1.60%,-4.40%,3.00%,9.70%,2.10%,14.40%,7.00%,13.70%,12.50%,---,---,---,---,---,---,---,---,$401,-1.20%,-2.90%,6.60%,---,---,---,---,---,---,---,---,77.90%,-7.30%,-20.70%,-18.60%,---,---,---,---,---,---,---,---,2.90%,-2.20%,-21.40%,-55.60%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,963",-0.60%,-1.50%,3.90%,$1.56,-0.40%,-0.30%,4.80%
North Beach,neighborhood,All Homes,"$7,89,800",-0.50%,-2.30%,3.50%,10.50%,2.60%,17.00%,5.30%,15.90%,16.00%,---,---,---,---,---,---,---,---,$390,-0.80%,-2.50%,5.70%,---,---,---,---,---,---,---,---,74.60%,-6.30%,-23.00%,-24.00%,---,---,---,---,---,---,---,---,4.90%,4.30%,-2.00%,-5.80%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,935",-0.70%,-1.20%,2.70%,$1.50,-0.30%,-0.30%,3.20%
North Beacon Hill,neighborhood,All Homes,"$5,35,900",0.80%,3.60%,16.70%,12.40%,3.40%,1.90%,0.70%,1.40%,1.50%,---,---,---,---,---,---,---,---,$355,0.30%,2.60%,16.00%,---,---,---,---,---,---,---,---,97.10%,-0.70%,-2.20%,-2.10%,---,---,---,---,---,---,---,---,4.30%,0.00%,-9.40%,-31.50%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,415",-0.20%,1.00%,6.20%,$1.68,-0.10%,0.10%,5.70%
North College Park,neighborhood,All Homes,"$5,16,000",0.40%,1.70%,13.20%,11.50%,3.10%,2.50%,1.20%,2.30%,2.40%,---,---,---,---,---,---,---,---,$359,0.30%,1.10%,13.20%,---,---,---,---,---,---,---,---,95.00%,-2.70%,-4.60%,-4.60%,---,---,---,---,---,---,---,---,7.90%,3.60%,7.40%,5.80%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,398",0.10%,1.10%,6.20%,$1.69,0.00%,0.20%,5.50%
North Delridge,neighborhood,All Homes,"$4,44,300",0.90%,3.20%,15.30%,13.60%,2.80%,5.90%,1.10%,5.40%,4.80%,---,---,---,---,---,---,---,---,$359,0.30%,1.10%,12.50%,---,---,---,---,---,---,---,---,91.60%,-1.80%,-7.70%,-6.70%,---,---,---,---,---,---,---,---,6.80%,-1.00%,-12.00%,-43.70%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,254",0.50%,1.60%,10.00%,$1.86,0.30%,0.50%,7.60%
North Queen Anne,neighborhood,All Homes,"$8,00,900",-0.90%,-2.40%,2.80%,9.80%,2.60%,17.10%,6.70%,15.90%,15.00%,---,---,---,---,---,---,---,---,$479,-0.60%,-1.00%,5.30%,---,---,---,---,---,---,---,---,74.60%,-8.10%,-23.40%,-22.40%,---,---,---,---,---,---,---,---,5.20%,-1.90%,4.90%,-27.10%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$3,130",-0.90%,-0.80%,4.90%,$1.98,-0.60%,0.00%,5.80%
Northgate,neighborhood,All Homes,"$3,12,200",-1.10%,-3.60%,14.20%,8.60%,1.10%,---,---,---,---,---,---,---,---,---,---,---,---,$286,-0.70%,-2.10%,12.20%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,6.40%,-3.10%,-3.10%,3.30%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$1,859",-1.10%,-3.80%,4.10%,$1.73,-0.30%,-0.50%,8.20%
Olympic Hills,neighborhood,All Homes,"$4,63,400",-1.40%,-3.20%,9.30%,11.50%,2.50%,4.70%,1.50%,4.10%,4.10%,---,---,---,---,---,---,---,---,$314,-0.90%,-2.50%,10.60%,---,---,---,---,---,---,---,---,92.00%,-1.40%,-7.20%,-7.10%,---,---,---,---,---,---,---,---,4.50%,-4.80%,-2.00%,-23.30%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,249",-0.30%,-0.60%,7.20%,$1.51,-0.40%,-0.70%,5.30%
Olympic Manor,neighborhood,All Homes,"$8,36,400",-1.70%,-4.60%,4.40%,9.20%,2.60%,19.40%,3.40%,17.10%,18.70%,---,---,---,---,---,---,---,---,$393,-0.80%,-2.20%,5.60%,---,---,---,---,---,---,---,---,73.10%,-1.30%,-21.50%,-25.50%,---,---,---,---,---,---,---,---,5.40%,-5.70%,-18.00%,-13.80%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$3,090",-0.80%,-0.40%,3.90%,$1.50,-0.70%,-0.50%,1.60%
Phinney Ridge,neighborhood,All Homes,"$7,15,200",-0.70%,-3.20%,4.00%,9.80%,3.00%,10.30%,4.30%,9.10%,10.00%,---,---,---,---,---,---,---,---,$474,-0.20%,-1.00%,5.60%,---,---,---,---,---,---,---,---,81.70%,-6.10%,-16.70%,-17.80%,---,---,---,---,---,---,---,---,4.60%,-4.80%,-11.60%,-9.10%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,937",-0.40%,0.30%,5.50%,$1.93,-0.80%,-0.80%,4.40%
Pinehurst,neighborhood,All Homes,"$4,86,100",0.20%,0.90%,9.00%,12.10%,2.80%,3.80%,1.40%,3.40%,3.60%,---,---,---,---,---,---,---,---,$316,0.30%,0.30%,11.30%,---,---,---,---,---,---,---,---,94.10%,-2.20%,-5.40%,-5.60%,---,---,---,---,---,---,---,---,5.20%,2.70%,-3.80%,-14.60%,---,---,---,---,---,---,---,---,---,---,---,---,22.422,---,---,14.70%,"$2,264",-0.20%,-0.50%,4.90%,$1.51,-0.40%,-0.90%,4.30%
Pioneer Square,neighborhood,All Homes,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,4.10%,0.00%,-8.30%,-26.70%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Portage Bay,neighborhood,All Homes,"$10,37,900",0.70%,1.30%,9.00%,10.50%,3.30%,---,---,---,---,---,---,---,---,---,---,---,---,$474,-0.60%,-1.90%,6.30%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,6.90%,0.00%,-3.00%,6.70%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$3,488",-1.70%,-2.60%,3.40%,$1.85,-0.80%,-0.30%,8.10%
Rainier Beach,neighborhood,All Homes,"$4,24,500",-0.50%,0.30%,13.10%,12.10%,1.10%,7.70%,2.30%,7.30%,7.30%,---,---,---,---,---,---,---,---,$246,-0.40%,1.70%,13.40%,---,---,---,---,---,---,---,---,88.90%,-3.60%,-10.60%,-10.40%,---,---,---,---,---,---,---,---,5.50%,5.70%,3.20%,13.20%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,230",0.50%,3.00%,14.70%,$1.27,0.30%,2.10%,12.50%
Rainier View,neighborhood,All Homes,"$3,45,400",0.20%,0.80%,12.30%,12.90%,1.00%,5.10%,2.60%,4.80%,5.00%,---,---,---,---,---,---,---,---,$234,0.40%,1.30%,12.00%,---,---,---,---,---,---,---,---,92.30%,-3.30%,-7.30%,-7.40%,---,---,---,---,---,---,---,---,4.50%,-8.10%,-9.50%,-23.00%,---,---,---,---,---,---,---,---,---,---,---,---,7.277,-3.10%,---,-5.20%,"$1,952",-0.50%,0.10%,10.30%,$1.32,-0.30%,0.30%,10.60%
Ravenna,neighborhood,All Homes,"$7,19,500",-0.90%,-3.10%,5.70%,10.00%,3.30%,5.80%,2.40%,4.80%,4.90%,---,---,---,---,---,---,---,---,$444,0.00%,0.00%,8.00%,---,---,---,---,---,---,---,---,89.20%,-5.20%,-9.00%,-9.40%,---,---,---,---,---,---,---,---,4.40%,-2.80%,-3.30%,-17.10%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,824",-0.70%,-1.30%,3.40%,$1.73,-0.60%,-1.10%,3.70%
Riverview,neighborhood,All Homes,"$4,46,400",0.10%,1.20%,13.00%,13.60%,2.20%,5.80%,0.40%,4.90%,5.30%,---,---,---,---,---,---,---,---,$303,0.30%,0.70%,13.90%,---,---,---,---,---,---,---,---,91.10%,-1.80%,-7.60%,-8.30%,---,---,---,---,---,---,---,---,4.60%,3.30%,-8.80%,-35.40%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,336",0.50%,2.80%,14.30%,$1.56,0.40%,2.50%,11.90%
Roosevelt,neighborhood,All Homes,"$6,77,100",-1.20%,-2.80%,7.60%,10.70%,3.20%,10.30%,4.40%,8.90%,9.50%,---,---,---,---,---,---,---,---,$427,-0.50%,-1.20%,7.30%,---,---,---,---,---,---,---,---,84.70%,-5.10%,-13.20%,-13.70%,---,---,---,---,---,---,---,---,6.00%,1.30%,1.30%,15.10%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,713",-0.90%,-1.60%,4.40%,$1.72,-0.90%,-1.40%,3.90%
Roxhill,neighborhood,All Homes,"$4,35,300",0.50%,1.10%,10.70%,12.20%,2.60%,3.80%,0.50%,3.50%,3.70%,---,---,---,---,---,---,---,---,$381,0.30%,1.10%,13.70%,---,---,---,---,---,---,---,---,93.50%,-1.10%,-5.80%,-6.40%,---,---,---,---,---,---,---,---,7.60%,0.00%,10.70%,18.80%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,187",0.30%,1.30%,12.30%,$1.89,0.00%,1.00%,10.80%
Seaview,neighborhood,All Homes,"$5,83,600",-2.10%,-6.40%,3.50%,9.80%,1.90%,12.20%,3.80%,11.60%,11.40%,---,---,---,---,---,---,---,---,$413,-1.20%,-3.10%,6.40%,---,---,---,---,---,---,---,---,80.80%,-5.00%,-17.80%,-18.10%,---,---,---,---,---,---,---,---,4.80%,-2.10%,-1.10%,-19.70%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,518",-0.70%,-1.40%,4.50%,$1.83,-0.50%,-1.10%,4.30%
Seward Park,neighborhood,All Homes,"$7,44,300",-0.60%,-1.90%,7.40%,9.50%,2.30%,12.20%,3.00%,10.10%,10.20%,---,---,---,---,---,---,---,---,$353,-0.30%,-1.40%,7.30%,---,---,---,---,---,---,---,---,80.50%,-4.80%,-16.30%,-16.60%,---,---,---,---,---,---,---,---,3.60%,-6.80%,-19.60%,-44.60%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,755",-0.80%,-1.90%,3.00%,$1.36,0.30%,1.30%,3.20%
South Beacon Hill,neighborhood,All Homes,"$3,97,400",-1.30%,-1.10%,5.10%,11.70%,1.20%,10.00%,2.70%,9.90%,9.80%,---,---,---,---,---,---,---,---,$242,-0.80%,-1.20%,6.60%,---,---,---,---,---,---,---,---,83.00%,-4.60%,-16.60%,-16.50%,---,---,---,---,---,---,---,---,4.80%,0.00%,-5.30%,-17.40%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,208",0.40%,2.60%,11.70%,$1.32,0.50%,2.30%,10.30%
South Delridge,neighborhood,All Homes,"$3,76,800",1.10%,3.30%,17.20%,14.70%,2.10%,1.00%,0.10%,0.60%,0.70%,---,---,---,---,---,---,---,---,$294,1.00%,4.30%,17.60%,---,---,---,---,---,---,---,---,98.60%,0.20%,-0.70%,-0.60%,---,---,---,---,13.70%,-7.70%,---,---,7.40%,5.00%,2.40%,-13.60%,---,---,---,---,---,---,---,---,---,---,---,---,3.139,---,---,-4.50%,"$2,039",0.00%,0.60%,11.40%,$1.68,-0.10%,0.70%,8.40%
South Lake Union,neighborhood,All Homes,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,8.10%,-10.70%,-7.40%,-10.70%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
South Park,neighborhood,All Homes,"$3,47,300",1.10%,2.60%,15.10%,14.60%,1.60%,3.80%,0.90%,3.00%,3.30%,---,---,---,---,---,---,---,---,$283,0.70%,1.80%,15.50%,---,---,---,---,---,---,---,---,94.40%,-1.90%,-4.70%,-4.70%,---,---,---,---,---,---,---,---,6.50%,5.20%,0.00%,3.40%,---,---,---,---,---,---,---,---,---,---,---,---,9.496,2.90%,1.70%,-1.40%,"$1,996",0.60%,2.80%,12.70%,$1.63,0.50%,2.50%,12.10%
Sunset Hill,neighborhood,All Homes,"$7,25,200",-2.20%,-6.20%,0.70%,9.30%,2.70%,25.20%,5.70%,19.70%,22.50%,---,---,---,---,---,---,---,---,$460,-1.50%,-4.00%,3.80%,---,---,---,---,---,---,---,---,65.10%,-9.20%,-25.70%,-31.40%,---,---,---,---,---,---,---,---,4.00%,1.20%,7.60%,-21.30%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,919",-1.00%,-1.10%,4.90%,$1.83,-1.10%,-1.60%,3.70%
University District,neighborhood,All Homes,"$6,83,300",0.10%,1.30%,10.30%,12.10%,3.80%,8.90%,3.00%,7.90%,8.60%,---,---,---,---,---,---,---,---,$445,0.00%,0.50%,10.70%,---,---,---,---,---,---,---,---,86.60%,-4.50%,-11.70%,-12.70%,---,---,---,---,---,---,---,---,4.40%,3.90%,-3.70%,-28.80%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,709",-0.30%,-0.40%,3.90%,$1.84,-0.30%,0.00%,4.30%
Uptown,neighborhood,All Homes,"$4,03,300",0.30%,1.20%,11.70%,11.10%,1.80%,4.50%,1.50%,4.10%,4.30%,---,---,---,---,---,---,---,---,$548,0.00%,0.20%,9.20%,---,---,---,---,---,---,---,---,91.60%,-3.30%,-7.40%,-7.90%,---,---,---,---,---,---,---,---,8.90%,0.00%,4.00%,-10.30%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$1,953",-0.30%,-0.50%,4.50%,$2.72,-0.30%,-0.30%,5.70%
Victory Heights,neighborhood,All Homes,"$5,36,700",-0.60%,-1.20%,8.40%,10.40%,2.90%,7.70%,2.70%,7.00%,6.60%,---,---,---,---,---,---,---,---,$333,-0.30%,-0.60%,9.90%,---,---,---,---,---,---,---,---,87.70%,-3.90%,-11.10%,-10.40%,---,---,---,---,---,---,---,---,5.10%,-1.10%,3.30%,-7.90%,---,---,---,---,---,---,---,---,---,---,---,---,7.485,---,---,1.20%,"$2,419",0.00%,-0.10%,6.60%,$1.59,-0.30%,-0.50%,6.70%
View Ridge,neighborhood,All Homes,"$8,45,500",-0.20%,-0.60%,6.20%,11.00%,3.20%,14.70%,4.10%,13.10%,11.20%,---,---,---,---,---,---,---,---,$437,0.20%,0.70%,7.60%,---,---,---,---,---,---,---,---,79.10%,-3.40%,-18.40%,-15.90%,---,---,---,---,---,---,---,---,5.20%,1.60%,2.40%,-12.90%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,969",-0.40%,-0.60%,2.70%,$1.76,-0.70%,-0.70%,3.40%
Wallingford,neighborhood,All Homes,"$7,67,100",0.40%,0.60%,6.30%,10.60%,3.10%,15.00%,5.90%,14.50%,14.20%,---,---,---,---,---,---,---,---,$487,-0.40%,-1.40%,5.00%,---,---,---,---,"$6,50,000",-7.10%,-12.10%,8.30%,75.40%,-7.70%,-23.50%,-23.70%,---,---,---,---,---,---,---,---,4.60%,0.00%,-0.80%,-16.40%,$511,2.70%,3.90%,20.90%,---,---,---,---,---,---,---,---,---,---,---,---,"$3,034",-1.10%,-1.40%,4.30%,$1.96,-0.80%,-0.80%,5.30%
Waterfront,neighborhood,All Homes,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.90%,0.00%,-50.00%,-71.40%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Wedgwood,neighborhood,All Homes,"$6,88,100",-0.30%,0.10%,12.40%,10.90%,3.60%,4.10%,1.80%,3.10%,3.60%,---,---,---,---,---,---,---,---,$407,-0.20%,0.00%,8.50%,---,---,---,---,---,---,---,---,92.70%,-3.10%,-5.10%,-6.40%,---,---,---,---,---,---,---,---,4.90%,0.70%,5.20%,-2.70%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,680",-0.60%,-1.70%,4.30%,$1.62,-0.40%,-1.20%,4.40%
West Queen Anne,neighborhood,All Homes,"$8,27,800",-0.50%,-1.60%,3.90%,9.60%,2.50%,13.40%,4.80%,11.70%,11.80%,---,---,---,---,---,---,---,---,$517,-0.20%,-0.20%,6.40%,---,---,---,---,---,---,---,---,80.00%,-6.60%,-15.70%,-17.70%,---,---,---,---,---,---,---,---,6.70%,-6.20%,-8.00%,-13.80%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$3,189",-1.30%,-2.10%,3.70%,$2.13,-0.10%,0.30%,4.70%
West Woodland,neighborhood,All Homes,"$6,55,400",0.40%,2.10%,10.50%,12.20%,3.80%,2.00%,0.60%,1.50%,1.70%,---,---,---,---,---,---,---,---,$465,0.20%,1.30%,10.70%,---,---,---,---,---,---,---,---,95.50%,-2.20%,-3.60%,-4.10%,---,---,---,---,---,---,---,---,5.30%,0.00%,-8.30%,-10.80%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,691",0.00%,-0.20%,7.20%,$1.94,0.00%,-0.10%,6.50%
Westlake,neighborhood,All Homes,"$5,24,500",0.10%,2.10%,13.00%,11.20%,1.80%,3.30%,1.10%,2.50%,3.00%,---,---,---,---,---,---,---,---,$481,0.60%,2.60%,11.30%,---,---,---,---,---,---,---,---,94.40%,-1.60%,-4.30%,-5.00%,---,---,---,---,---,---,---,---,9.20%,-1.10%,-1.10%,-1.10%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,455",-0.30%,-0.70%,4.40%,$2.28,0.10%,0.10%,5.20%
Whittier Heights,neighborhood,All Homes,"$6,59,400",-1.30%,-2.80%,8.60%,11.30%,3.30%,3.80%,1.60%,3.10%,2.90%,---,---,---,---,---,---,---,---,$459,-0.90%,-2.10%,8.80%,---,---,---,---,---,---,---,---,91.60%,-4.10%,-7.50%,-6.90%,---,---,---,---,---,---,---,---,6.20%,3.50%,11.40%,-13.30%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,697",-0.60%,-0.80%,6.80%,$1.92,-0.60%,-0.70%,6.40%
Windermere,neighborhood,All Homes,"$12,54,300",-1.70%,-1.00%,9.10%,10.50%,2.90%,20.30%,5.70%,17.00%,19.70%,---,---,---,---,---,---,---,---,$533,-1.50%,-2.20%,5.10%,---,---,---,---,---,---,---,---,72.80%,-5.20%,-21.90%,-26.30%,---,---,---,---,---,---,---,---,4.40%,0.00%,6.70%,-34.70%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$4,390",-0.30%,-0.80%,5.90%,$1.99,-0.50%,-0.50%,3.90%
